n, m, time
250, 15, 0.348355
250, 180, 0.274068
250, 345, 0.244877
250, 510, 0.252698
250, 675, 0.26201
250, 840, 0.245449
250, 1005, 0.240525
250, 1170, 0.238782
250, 1335, 0.248169
250, 1500, 0.24688
3000, 15, 1.84683
3000, 180, 1.81208
3000, 345, 1.43252
3000, 510, 1.12567
3000, 675, 0.9816
3000, 840, 1.14634
3000, 1005, 0.985919
3000, 1170, 0.960221
3000, 1335, 0.926275
3000, 1500, 0.876396
5750, 15, 3.88052
5750, 180, 3.73699
5750, 345, 2.96375
5750, 510, 2.73498
5750, 675, 2.80236
5750, 840, 2.4305
5750, 1005, 2.37822
5750, 1170, 2.17314
5750, 1335, 2.1776
5750, 1500, 2.00705
8500, 15, 6.93011
8500, 180, 6.71504
8500, 345, 6.97536
8500, 510, 5.69797
8500, 675, 5.56685
8500, 840, 4.96776
8500, 1005, 4.46193
8500, 1170, 4.56187
8500, 1335, 4.29558
8500, 1500, 4.00926
11250, 15, 9.46699
11250, 180, 10.5758
11250, 345, 9.82805
11250, 510, 10.3058
11250, 675, 11.0892
11250, 840, 9.47454
11250, 1005, 7.96267
11250, 1170, 8.58795
11250, 1335, 7.53548
11250, 1500, 7.45677
14000, 15, 17.6506
14000, 180, 17.887
14000, 345, 15.7401
14000, 510, 14.9408
14000, 675, 13.2401
14000, 840, 12.9118
14000, 1005, 13.0904
14000, 1170, 12.2939
14000, 1335, 10.1023
14000, 1500, 10.4015
16750, 15, 21.4095
16750, 180, 20.7283
16750, 345, 19.6307
16750, 510, 17.4361
16750, 675, 17.3462
16750, 840, 16.0757
16750, 1005, 15.3083
16750, 1170, 15.7363
16750, 1335, 14.1115
16750, 1500, 13.5371
19500, 15, 24.075
19500, 180, 28.9537
19500, 345, 24.5383
19500, 510, 20.5742
19500, 675, 23.4052
19500, 840, 20.4075
19500, 1005, 20.6477
19500, 1170, 21.8927
19500, 1335, 19.363
19500, 1500, 17.6964
22250, 15, 31.4034
22250, 180, 30.9011
22250, 345, 30.0029
22250, 510, 27.1346
22250, 675, 27.1383
22250, 840, 28.7232
22250, 1005, 28.876
22250, 1170, 27.7708
22250, 1335, 25.8752
22250, 1500, 23.2386

